question,answer
What is your return policy?,"You can return any unused product within 30 days of purchase for a full refund or exchange."
How can I track my order?,"Once your order ships you will receive an email with a tracking number and link to our courier partner's website."
Do you offer international shipping?,"Yes we ship worldwide. Delivery times and fees vary depending on destination."
How do I reset my password?,"Go to the login page then click Forgot Password and follow the instructions sent to your registered email."
What payment methods do you accept?,"We accept credit or debit cards UPI PayPal and net banking for secure transactions."
Can I cancel my order after placing it?,"Orders can be canceled within 2 hours of placement. After that it may already be in shipment."
How can I contact customer support?,"You can email us at support@example.com or call our helpline between 9 AM and 6 PM Monday to Saturday."
Is my personal data safe with you?,"Yes we follow strict GDPR and data-protection policies to keep all user data encrypted and secure."
Do you have a mobile app?,"Yes our Android and iOS apps are available on Google Play Store and the App Store."
How do I update my delivery address?,"Go to My Account → Addresses → Edit or add a new shipping address before checkout."
What if my order arrives damaged?,"If your package is damaged contact support within 24 hours with photos for a free replacement or refund."
Do you provide bulk or corporate discounts?,"Yes contact sales@example.com for custom pricing on bulk or corporate orders."
What is your refund process?,"Refunds are issued to your original payment method within 5–7 business days after item inspection."
How long does delivery take?,"Standard delivery takes 3–5 days domestically and 7–14 days internationally."
Can I change my email ID?,"For security reasons you cannot directly change your email. Contact support to verify your identity and update it."
Do you offer cash on delivery?,"Yes COD is available for selected pin codes. Service charges may apply."
What should I do if I received the wrong item?,"Please contact support immediately with your order number; we will arrange a replacement at no cost."
Where are you located?,"Our headquarters are in Bangalore India with warehouses across major Indian cities."
Do you charge for returns?,"Returns are free for damaged or incorrect items. For other reasons a nominal courier fee may apply."
Can I subscribe for product updates?,"Yes subscribe to our newsletter or enable notifications in the mobile app to get the latest updates."
Are you a human?,"I'm an AI chatbot here to help answer your questions."
Who made you?,"I was created by Devanshu Kumar as part of the Proxima AI project."
Are you dead?,"Nope! I'm alive digitally, always ready to answer your questions."
